Fecha,Hora,Tiempo_Transcurrido_(s),Ping_(ms),%_Paquetes_perdidos,Tiempo_Corte_(ms),Tiempo_de_Fallo_Acumulado_(ms)
15-02-2022,16:16:46,130,42,0%,0,0
15-02-2022,16:16:47,131,38,0%,0,0
15-02-2022,16:16:48,132,37,0%,0,0
15-02-2022,16:16:49,133,45,0%,0,0
15-02-2022,16:16:50,134,45,0%,0,0
15-02-2022,16:16:51,135,36,0%,0,0
15-02-2022,16:16:52,136,27,0%,0,0
15-02-2022,16:16:53,137,29,0%,0,0
15-02-2022,16:16:54,138,38,0%,0,0
15-02-2022,16:16:55,139,51,0%,0,0
15-02-2022,16:16:56,140,28,0%,0,0
15-02-2022,16:16:57,141,30,0%,0,0
15-02-2022,16:16:58,142,48,0%,0,0
15-02-2022,16:16:59,143,37,0%,0,0
15-02-2022,16:17:00,144,29,0%,0,0
15-02-2022,16:17:01,145,31,0%,0,0
15-02-2022,16:17:02,146,36,0%,0,0
15-02-2022,16:17:03,147,37,0%,0,0
15-02-2022,16:17:04,148,33,0%,0,0
15-02-2022,16:17:05,149,30,0%,0,0
15-02-2022,16:17:06,150,31,0%,0,0
15-02-2022,16:17:07,151,49,0%,0,0
15-02-2022,16:17:08,152,37,0%,0,0
15-02-2022,16:17:09,153,40,0%,0,0
15-02-2022,16:17:10,154,43,0%,0,0
15-02-2022,16:17:11,155,47,0%,0,0
15-02-2022,16:17:12,156,42,0%,0,0
15-02-2022,16:17:13,157,48,0%,0,0
15-02-2022,16:17:14,158,49,0%,0,0
15-02-2022,16:17:15,159,45,0%,0,0
15-02-2022,16:17:16,160,52,0%,0,0
15-02-2022,16:17:18,161,32,0%,0,0
15-02-2022,16:17:18,162,39,0%,0,0
15-02-2022,16:17:19,163,47,0%,0,0
15-02-2022,16:17:20,164,56,0%,0,0
15-02-2022,16:17:21,165,39,0%,0,0
15-02-2022,16:17:22,166,47,0%,0,0
15-02-2022,16:17:24,167,54,0%,0,0
15-02-2022,16:17:25,168,32,0%,0,0
15-02-2022,16:17:25,169,38,0%,0,0
15-02-2022,16:17:26,170,39,0%,0,0
